Movie_Name,R rated
케이 팩스,12세 관람가
스타쉽 트루퍼스,청소년 관람불가
스타워즈 에피소드 4 - 새로운 희망,<class 'str'>
스타워즈 에피소드 6 - 제다이의 귀환,<class 'str'>
디스트릭트 9,청소년 관람불가
아이언맨,12세 관람가
엑스맨: 데이즈 오브 퓨처 패스트,12세 관람가
아이언맨 3,12세 관람가
트랜스포머,12세 관람가
토탈 리콜,청소년 관람불가
지구를 지켜라!,청소년 관람불가
매트릭스 2 - 리로디드,15세 관람가
12 몽키즈,15세 관람가
아일랜드,12세 관람가
"아이, 로봇",12세 관람가
딥 임팩트,12세 관람가
블레이드 러너,15세 관람가
공각기동대,12세 관람가
13 구역,15세 관람가
스타 트렉: 더 비기닝,12세 관람가
맨 인 블랙,12세 관람가
레지던트 이블,청소년 관람불가
매트릭스 3 - 레볼루션,15세 관람가
더 문,12세 관람가
다크 시티,청소년 관람불가
터미네이터: 다크 페이트,15세 관람가
탑건: 매버릭,12세 관람가
포드 V 페라리,12세 관람가
글래디에이터,15세 관람가
태극권,15세 관람가
헌터 킬러,15세 관람가
어벤져스: 엔드게임,12세 관람가
클레멘타인,15세 관람가
잭 스나이더의 저스티스 리그,12세 관람가
더 록,15세 관람가
다크 나이트,15세 관람가
폴리스 스토리,12세 관람가
다이 하드,15세 관람가
동방불패,15세 관람가
영웅: 샐러멘더의 비밀,15세 관람가
취권 2,15세 관람가
RRR: 라이즈 로어 리볼트,15세 관람가
브레이브하트,15세 관람가
본 얼티메이텀,12세 관람가
해바라기,15세 관람가
아저씨,청소년 관람불가
인셉션,12세 관람가
크림슨 타이드,15세 관람가
백발마녀전,15세 관람가
엽문,12세 관람가
페이스 오프,15세 관람가
테이큰,청소년 관람불가
프레데터,청소년 관람불가
천장지구,15세 관람가
네고시에이터,15세 관람가
영웅본색,15세 관람가
에너미 오브 스테이트,15세 관람가
범죄도시,청소년 관람불가
도망자,15세 관람가
스트레인저 - 무황인담,15세 관람가
스피드,15세 관람가
미션 임파서블: 폴아웃,15세 관람가
분노의 질주: 더 세븐,15세 관람가
노킹 온 헤븐스 도어,15세 관람가
클리프행어,12세 관람가
7인의 사무라이,<class 'str'>
콘 에어,15세 관람가
투캅스 3,청소년 관람불가
정무문,15세 관람가
첩혈쌍웅,청소년 관람불가
로건,청소년 관람불가
이연걸의 정무문,15세 관람가
록키 2,12세 관람가
업그레이드,15세 관람가
배트맨 2,15세 관람가
